candidate,feature_group,ratio_variant,clip_name,revenue_weight,ratio_weight,Revenue_mae,Revenue_mape,COGS_mae,COGS_mape,avg_mae,avg_mape,weighted_avg_mape,scenario_weight_total,scenarios_covered,folds_evaluated
ratio_all_base_business_rw1.35_cw1.25,all,base,business,1.35,1.25,151072.3224363536,6.34385825678167,161136.96393806173,7.2727794051269425,156104.64318720766,6.808318830954306,7.8887464401702765,1.0,4,8
ratio_all_base_wide_rw1.35_cw1.25,all,base,wide,1.35,1.25,151072.3224363536,6.34385825678167,161136.96393806173,7.2727794051269425,156104.64318720766,6.808318830954306,7.8887464401702765,1.0,4,8
ratio_all_base_business_rw1.35_cw1.15,all,base,business,1.35,1.15,151072.3224363536,6.34385825678167,162059.05921339602,7.30430740316854,156565.69082487482,6.824082829975105,7.8940142425591,1.0,4,8
ratio_all_base_wide_rw1.35_cw1.15,all,base,wide,1.35,1.15,151072.3224363536,6.34385825678167,162059.05921339602,7.30430740316854,156565.69082487482,6.824082829975105,7.8940142425591,1.0,4,8
ratio_all_base_business_rw1.25_cw0.95,all,base,business,1.25,0.95,145560.3488750278,6.254733388008897,159662.8286463194,7.283217651354698,152611.5887606736,6.768975519681797,7.89542273875767,1.0,4,8
ratio_all_base_wide_rw1.25_cw0.95,all,base,wide,1.25,0.95,145560.3488750278,6.254733388008897,159662.8286463194,7.283217651354698,152611.5887606736,6.768975519681797,7.89542273875767,1.0,4,8
ratio_all_flex_business_rw1.30_cw0.95,all,flex,business,1.3,0.95,146680.28370565793,6.255439574885558,161805.473885199,7.332977016348863,154242.87879542843,6.79420829561721,7.896014732451855,1.0,4,8
ratio_all_flex_wide_rw1.30_cw0.95,all,flex,wide,1.3,0.95,146680.28370565793,6.255439574885558,161805.473885199,7.332977016348863,154242.87879542843,6.79420829561721,7.896014732451855,1.0,4,8
ratio_all_base_business_rw1.35_cw1.30,all,base,business,1.35,1.3,151072.3224363536,6.34385825678167,162047.06538939162,7.29776912804543,156559.6939128726,6.82081369241355,7.896904109264903,1.0,4,8
ratio_all_base_wide_rw1.35_cw1.30,all,base,wide,1.35,1.3,151072.3224363536,6.34385825678167,162047.06538939162,7.29776912804543,156559.6939128726,6.82081369241355,7.896904109264903,1.0,4,8
ratio_all_flex_business_rw1.25_cw1.30,all,flex,business,1.25,1.3,145560.3488750278,6.254733388008897,160685.82707538203,7.293990080547321,153123.08797520492,6.774361734278108,7.898028490625875,1.0,4,8
