scenario,fold,valid_days,scenario_weight,valid_start,valid_end,candidate,feature_group,ratio_variant,clip_name,revenue_weight,ratio_weight,Revenue_mae,Revenue_mape,COGS_mae,COGS_mape,avg_mape,avg_mae
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_business_rw1.45_cw1.25,no_web,conservative,business,1.45,1.25,138489.89422222224,4.712657419224923,223348.80666666667,7.516551056940105,6.114604238082514,180919.35044444446
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_business_rw1.45_cw1.30,no_web,conservative,business,1.45,1.3,138489.89422222224,4.712657419224923,218275.8957777778,7.365547990551141,6.039102704888032,178382.89500000002
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_business_rw1.50_cw0.95,no_web,conservative,business,1.5,0.95,144000.13700000002,4.914680602087356,270140.9077777778,8.898428048315427,6.906554325201391,207070.52238888893
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_business_rw1.50_cw1.00,no_web,conservative,business,1.5,1.0,144000.13700000002,4.914680602087356,264757.37855555554,8.734172413548992,6.824426507818174,204378.7577777778
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_business_rw1.50_cw1.05,no_web,conservative,business,1.5,1.05,144000.13700000002,4.914680602087356,259438.64344444446,8.573556223292684,6.744118412690019,201719.39022222225
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_business_rw1.50_cw1.10,no_web,conservative,business,1.5,1.1,144000.13700000002,4.914680602087356,254254.4901111112,8.41998240509321,6.667331503590283,199127.3135555556
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_business_rw1.50_cw1.15,no_web,conservative,business,1.5,1.15,144000.13700000002,4.914680602087356,249076.35011111113,8.266619171241905,6.590649886664631,196538.2435555556
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_business_rw1.50_cw1.20,no_web,conservative,business,1.5,1.2,144000.13700000002,4.914680602087356,243927.67922222224,8.114127260424384,6.51440393125587,193963.90811111114
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_business_rw1.50_cw1.25,no_web,conservative,business,1.5,1.25,144000.13700000002,4.914680602087356,238788.7528888889,7.961923500441244,6.4383020512643,191394.44494444446
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_business_rw1.50_cw1.30,no_web,conservative,business,1.5,1.3,144000.13700000002,4.914680602087356,233649.82099999997,7.809719569789688,6.362200085938522,188824.979
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_business_rw1.55_cw0.95,no_web,conservative,business,1.55,0.95,153896.70322222225,5.261777354182028,288017.87588888896,9.431279497123871,7.3465284256529495,220957.28955555562
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_business_rw1.55_cw1.00,no_web,conservative,business,1.55,1.0,153896.70322222225,5.261777354182028,282397.2438888889,9.260485523556618,7.261131438869323,218146.97355555557
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_business_rw1.55_cw1.05,no_web,conservative,business,1.55,1.05,153896.70322222225,5.261777354182028,276776.6207777778,9.089691814479197,7.175734584330613,215336.662
90d_3fold,2,90,0.1,2022-07-05,2022-10-02,ratio_no_web_conservative_business_rw1.55_cw1.10,no_web,conservative,business,1.55,1.1,153896.70322222225,5.261777354182028,271350.28133333335,8.92680726470502,7.094292309443524,212623.4922777778
