candidate,feature_group,ratio_variant,clip_name,revenue_weight,ratio_weight,Revenue_mae,Revenue_mape,COGS_mae,COGS_mape,avg_mae,avg_mape,weighted_avg_mape,scenario_weight_total,scenarios_covered,folds_evaluated
ratio_no_web_conservative_business_rw1.25_cw1.20,no_web,conservative,business,1.25,1.2,158074.9293951022,6.912885436714146,185872.46101171413,8.428775441425586,171973.69520340816,7.670830439069866,8.82522643969385,1.0,4,8
ratio_no_web_conservative_wide_rw1.25_cw1.20,no_web,conservative,wide,1.25,1.2,158074.9293951022,6.912885436714146,185872.46101171413,8.428775441425586,171973.69520340816,7.670830439069866,8.82522643969385,1.0,4,8
ratio_no_web_base_business_rw1.15_cw1.30,no_web,base,business,1.15,1.3,168310.4860330113,7.166589489156932,178272.47254070773,8.046961218933534,173291.4792868595,7.606775354045233,8.82739854977368,1.0,4,8
ratio_no_web_base_wide_rw1.15_cw1.30,no_web,base,wide,1.15,1.3,168310.4860330113,7.166589489156932,178272.47254070773,8.046961218933534,173291.4792868595,7.606775354045233,8.82739854977368,1.0,4,8
ratio_all_flex_business_rw1.45_cw1.00,all,flex,business,1.45,1.0,182011.38288742653,7.326562314771538,189151.23029721263,8.274803086581041,185581.3065923196,7.800682700676289,8.828182987789086,1.0,4,8
ratio_all_flex_wide_rw1.45_cw1.00,all,flex,wide,1.45,1.0,182011.38288742653,7.326562314771538,189151.23029721263,8.274803086581041,185581.3065923196,7.800682700676289,8.828182987789086,1.0,4,8
ratio_no_web_conservative_business_rw1.30_cw1.25,no_web,conservative,business,1.3,1.25,159166.21863439353,6.9425887042254395,186795.73785982997,8.471108143832572,172980.97824711175,7.706848424029005,8.831959383811945,1.0,4,8
ratio_no_web_conservative_wide_rw1.30_cw1.25,no_web,conservative,wide,1.3,1.25,159166.21863439353,6.9425887042254395,186795.73785982997,8.471108143832572,172980.97824711175,7.706848424029005,8.831959383811945,1.0,4,8
ratio_all_conservative_business_rw1.40_cw1.15,all,conservative,business,1.4,1.15,169642.15541127554,6.974508027236052,202860.78546897115,8.866986217076217,186251.47044012335,7.9207471221561345,8.835118247410353,1.0,4,8
ratio_all_conservative_wide_rw1.40_cw1.15,all,conservative,wide,1.4,1.15,169642.15541127554,6.974508027236052,202860.78546897115,8.866986217076217,186251.47044012335,7.9207471221561345,8.835118247410353,1.0,4,8
ratio_no_web_conservative_business_rw1.25_cw1.15,no_web,conservative,business,1.25,1.15,158074.9293951022,6.912885436714146,186122.75884967542,8.432411131386635,172098.8441223888,7.672648284050391,8.839112285001395,1.0,4,8
ratio_no_web_conservative_wide_rw1.25_cw1.15,no_web,conservative,wide,1.25,1.15,158074.9293951022,6.912885436714146,186122.75884967542,8.432411131386635,172098.8441223888,7.672648284050391,8.839112285001395,1.0,4,8
ratio_all_base_business_rw1.45_cw0.95,all,base,business,1.45,0.95,182011.38288742653,7.326562314771538,191320.3593379308,8.316034416037796,186665.87111267867,7.821298365404667,8.842024341722253,1.0,4,8
ratio_all_base_wide_rw1.45_cw0.95,all,base,wide,1.45,0.95,182011.38288742653,7.326562314771538,191320.3593379308,8.316034416037796,186665.87111267867,7.821298365404667,8.842024341722253,1.0,4,8
ratio_no_web_conservative_business_rw1.30_cw1.20,no_web,conservative,business,1.3,1.2,159166.21863439353,6.9425887042254395,187139.76739773664,8.477288296157763,173152.99301606507,7.709938500191601,8.846142320069482,1.0,4,8
ratio_no_web_conservative_wide_rw1.30_cw1.20,no_web,conservative,wide,1.3,1.2,159166.21863439353,6.9425887042254395,187139.76739773664,8.477288296157763,173152.99301606507,7.709938500191601,8.846142320069482,1.0,4,8
ratio_all_conservative_business_rw1.40_cw1.10,all,conservative,business,1.4,1.1,169642.15541127554,6.974508027236052,203857.4197544801,8.894755721464334,186749.78758287782,7.934631874350192,8.852113075978442,1.0,4,8
ratio_all_conservative_wide_rw1.40_cw1.10,all,conservative,wide,1.4,1.1,169642.15541127554,6.974508027236052,203857.4197544801,8.894755721464334,186749.78758287782,7.934631874350192,8.852113075978442,1.0,4,8
ratio_no_web_conservative_business_rw1.25_cw1.10,no_web,conservative,business,1.25,1.1,158074.9293951022,6.912885436714146,186473.69231818276,8.440704045033577,172274.31085664246,7.676794740873861,8.853916047767934,1.0,4,8
ratio_no_web_conservative_wide_rw1.25_cw1.10,no_web,conservative,wide,1.25,1.1,158074.9293951022,6.912885436714146,186473.69231818276,8.440704045033577,172274.31085664246,7.676794740873861,8.853916047767934,1.0,4,8
ratio_all_flex_business_rw1.45_cw0.95,all,flex,business,1.45,0.95,182011.38288742653,7.326562314771538,191738.1922500375,8.352426313241814,186874.78756873202,7.839494314006676,8.85464484401429,1.0,4,8
ratio_all_flex_wide_rw1.45_cw0.95,all,flex,wide,1.45,0.95,182011.38288742653,7.326562314771538,191738.1922500375,8.352426313241814,186874.78756873202,7.839494314006676,8.85464484401429,1.0,4,8
ratio_no_web_conservative_business_rw1.30_cw1.15,no_web,conservative,business,1.3,1.15,159166.21863439353,6.9425887042254395,187586.95022179378,8.486762297120332,173376.58442809366,7.714675500672885,8.861383340056134,1.0,4,8
