iter	Passed	Remaining
660	1943	6875
661	1945	6871
662	1948	6867
663	1951	6864
664	1954	6861
665	1957	6858
666	1959	6854
667	1961	6846
668	1963	6842
669	1966	6837
670	1969	6834
671	1971	6829
672	1974	6826
673	1975	6818
674	1978	6815
675	1981	6812
676	1984	6810
677	1987	6806
678	1990	6803
679	1992	6798
680	1996	6797
681	1997	6789
682	2000	6786
683	2003	6783
684	2005	6779
685	2009	6779
686	2012	6776
687	2014	6769
688	2016	6764
689	2020	6764
690	2022	6759
691	2026	6758
692	2029	6757
693	2033	6756
694	2036	6754
695	2039	6750
696	2042	6749
697	2045	6746
698	2048	6743
699	2051	6740
700	2054	6737
701	2057	6735
702	2060	6733
703	2063	6729
704	2066	6727
705	2069	6724
706	2072	6721
707	2075	6719
708	2079	6719
709	2081	6713
710	2085	6713
711	2088	6710
712	2091	6709
713	2095	6707
714	2098	6704
715	2100	6701
716	2104	6701
717	2108	6700
718	2110	6696
719	2113	6693
720	2117	6693
721	2121	6692
722	2125	6692
723	2128	6689
724	2132	6690
725	2134	6686
726	2137	6684
727	2140	6681
728	2144	6680
729	2148	6679
730	2151	6676
731	2153	6673
732	2157	6673
733	2160	6670
734	2163	6668
735	2167	6666
736	2170	6666
737	2173	6662
738	2177	6661
739	2180	6659
740	2184	6658
741	2187	6655
742	2190	6653
743	2193	6650
744	2196	6649
745	2199	6644
746	2202	6643
747	2205	6640
748	2208	6637
749	2211	6635
750	2215	6633
751	2218	6632
752	2222	6630
753	2225	6628
754	2228	6626
755	2231	6624
756	2235	6623
757	2238	6620
758	2241	6619
759	2245	6617
760	2248	6616
761	2251	6613
762	2254	6610
763	2256	6605
764	2260	6604
765	2263	6601
766	2267	6600
767	2270	6599
768	2274	6599
769	2277	6596
770	2280	6593
771	2283	6590
772	2286	6587
773	2289	6585
774	2293	6584
775	2296	6580
776	2299	6579
777	2303	6577
778	2306	6576
779	2309	6571
780	2312	6570
781	2315	6567
782	2319	6566
783	2321	6562
784	2324	6559
785	2327	6556
786	2330	6553
787	2334	6551
788	2337	6549
789	2340	6547
790	2343	6545
791	2345	6539
792	2349	6538
793	2352	6536
794	2355	6532
795	2358	6529
796	2361	6528
797	2365	6527
798	2369	6526
799	2372	6523
800	2375	6522
801	2378	6518
802	2382	6517
803	2385	6516
804	2389	6515
805	2393	6514
806	2396	6513
807	2400	6511
808	2403	6510
809	2406	6507
810	2410	6505
811	2413	6502
812	2416	6500
813	2419	6498
814	2423	6497
815	2426	6493
816	2429	6492
817	2432	6489
818	2436	6488
819	2439	6486
820	2443	6485
821	2447	6483
822	2450	6482
823	2453	6479
824	2457	6478
825	2460	6477
826	2464	6475
827	2468	6474
828	2470	6469
829	2473	6467
830	2477	6466
831	2480	6462
832	2483	6461
833	2487	6460
834	2491	6459
835	2494	6457
836	2498	6455
837	2500	6450
838	2503	6447
839	2506	6445
840	2509	6442
841	2512	6439
842	2516	6437
843	2518	6434
844	2522	6433
845	2525	6430
846	2528	6427
847	2531	6424
848	2536	6425
849	2539	6423
850	2543	6422
851	2545	6418
852	2549	6417
853	2552	6413
854	2555	6412
855	2558	6408
856	2562	6407
857	2566	6406
858	2569	6404
859	2572	6401
860	2576	6400
861	2578	6395
862	2582	6394
863	2585	6390
864	2587	6387
865	2590	6382
866	2593	6379
867	2595	6375
868	2597	6370
869	2601	6368
870	2605	6367
871	2607	6364
872	2611	6363
873	2614	6358
874	2616	6354
875	2619	6351
876	2622	6348
877	2625	6345
878	2628	6343
879	2632	6340
880	2635	6338
881	2639	6337
882	2641	6334
883	2644	6330
884	2647	6326
885	2650	6323
886	2652	6319
887	2655	6315
888	2658	6313
889	2661	6310
890	2664	6305
891	2667	6304
892	2670	6301
893	2673	6297
894	2675	6292
895	2679	6291
896	2682	6289
897	2685	6286
898	2688	6282
899	2691	6280
900	2694	6277
901	2697	6274
902	2700	6271
903	2703	6268
904	2706	6264
905	2709	6261
906	2711	6258
907	2715	6256
908	2718	6253
909	2722	6251
910	2725	6249
911	2728	6246
912	2731	6243
913	2735	6242
914	2738	6240
915	2741	6237
916	2745	6235
917	2748	6234
918	2751	6231
919	2754	6226
920	2755	6221
921	2758	6217
922	2762	6216
923	2765	6213
924	2768	6209
925	2770	6205
926	2773	6202
927	2777	6200
928	2780	6197
929	2783	6194
930	2786	6191
931	2788	6186
932	2790	6182
933	2794	6181
934	2798	6180
935	2801	6176
936	2804	6175
937	2807	6171
938	2810	6168
939	2813	6166
940	2816	6163
941	2819	6160
942	2822	6157
943	2826	6155
944	2829	6152
945	2832	6149
